air_id,name,type,lat,lon,admin_id
41492,Pulau Panjang Airport,airstrip,-5.644444,106.5625,320301
46490,Jatiwangi Airport,airstrip,-6.678375,108.2522194,320302
311168,Santosa Hospital Helipad,helipad,-6.915161,107.600124,320303
347113,Amandaratu Heliport,helipad,-7.37058,106.48564,320304
356433,Citeurup Paraglider Airport,airstrip,-6.50814,106.87836,320305
356434,Lido Airstrip,airstrip,-6.75333,106.81171,320306
356435,Cikembar Airport,airstrip,-6.96924,106.78866,320307
3273,Suparlan Batujajar Airport,airstrip,-6.903611,107.475556,320308
3274,Rumpin Airport,airstrip,-6.371861,106.621861,320309
46482,Atang Senjaya Airport,airstrip,-6.538819,106.755466,320310
41455,Sulaiman Airport,airstrip,-6.98278,107.572998,320311
333068,Kertajati International Airport,airport,-6.647384,108.165561,320312
26824,Husein Sastranegara International Airport,airport,-6.90063,107.575996,320313
26825,Cakrabhuwana  Airport,airstrip,-6.757,108.538849,320314
26826,Cibeureum Airport,airstrip,-7.3466,108.246002,320315
3272,Nusawiru Airport,airstrip,-7.719895,108.488995,320316
32652,Kalijati Airport,airstrip,-6.53139019,107.6589966,320317
,,,,,320318
,,,,,320319
,,,,,320320
,,,,,320321
,,,,,320322
,,,,,320323
,,,,,320324
,,,,,320325
,,,,,320326
,,,,,320327
,,,,,320328
,,,,,320329
,,,,,320330
,,,,,320331
,,,,,320201
,,,,,320202
,,,,,320203
,,,,,320204
,,,,,320205
,,,,,320206
,,,,,320207
,,,,,320208
,,,,,320209
,,,,,320210
,,,,,320211
,,,,,320212
,,,,,320213
,,,,,320214
,,,,,320215
,,,,,320216
,,,,,320217
,,,,,320218
,,,,,320219
,,,,,320220
,,,,,320221
,,,,,320222
,,,,,320223
,,,,,320224
