admin_id,population,year
320301,41323,2022
320302,31370,2022
320303,59912,2022
320304,70642,2022
320305,48036,2022
320306,65469,2022
320307,37508,2022
320308,51393,2022
320309,38898,2022
320310,53792,2022
320311,34796,2022
320312,52308,2022
320313,57201,2022
320314,77227,2022
320315,70930,2022
320316,24073,2022
320317,137561,2022
320318,80525,2022
320319,63048,2022
320320,122188,2022
320321,93892,2022
320322,86111,2022
320323,65998,2022
320324,91833,2022
320325,84222,2022
320326,170927,2022
320327,176368,2022
320328,120961,2022
320329,113981,2022
320330,115574,2022
320331,93720,2022
320201,110646,2022
320202,57868,2024
320203,58484,2024
320204,32173,2024
320205,84552,2024
320206,31116,2024
320207,48996,2024
320208,27389,2024
320209,32993,2024
320210,36999,2024
320211,17255,2024
320212,54449,2024
320213,19921,2024
320214,31792,2024
320215,45711,2024
320216,34453,2024
320217,121477,2024
320218,60870,2024
320219,68186,2024
320220,42984,2024
320221,72737,2024
320222,46035,2024
320223,99198,2024
320224,53765,2024
